"fips_state","fips_county","population_5_11"
"27","27155",264
"27","27157",1860
"27","27159",1393
"27","27161",1666
"27","27163",25361
"27","27165",1003
"27","27167",536
"27","27169",3418
"27","27171",15187
"27","27173",882
"28","28001",2289
"28","28003",3147
"28","28005",980
"28","28007",1808
"28","28009",662
"28","28011",3059
"28","28013",1264
"28","28015",708
"28","28017",1645
"28","28019",699
"28","28021",716
"28","28023",1242
"28","28025",1634
"28","28027",2373
"28","28029",2449
"28","28031",1826
"28","28033",18203
"28","28035",6873
"28","28037",664
"28","28039",2551
"28","28041",948
"28","28043",1939
"28","28045",3579
"28","28047",19419
"28","28049",21599
"28","28051",1657
"28","28053",872
"28","28055",45
"28","28057",1990
"28","28059",12826
"28","28061",1461
"28","28063",630
"28","28065",895
"28","28067",6651
"28","28069",676
"28","28071",3881
"28","28073",6121
"28","28075",6620
"28","28077",1249
"28","28079",1998
"28","28081",8281
"28","28083",2958
"28","28085",3158
"28","28087",5389
"28","28089",10155
"28","28091",2213
"28","28093",2886
"28","28095",3032
"28","28097",845
"28","28099",3011
"28","28101",2030
"28","28103",967
"28","28105",3330
"28","28107",3275
"28","28109",4921
"28","28111",1049
"28","28113",4002
"28","28115",3220
"28","28117",2244
"28","28119",603
"28","28121",13800
"28","28123",2876
"28","28125",416
"28","28127",2404
"28","28129",1391
"28","28131",1586
"28","28133",2149
"28","28135",1053
"28","28137",2369
"28","28139",2054
"28","28141",1573
"28","28143",1094
"28","28145",2808
"28","28147",1233
"28","28149",4050
"28","28151",4534
"28","28153",1916
"28","28155",879
"28","28157",701
"28","28159",1538
"28","28161",974
"28","28163",2420
"29","29001",1642
"29","29003",1627
"29","29005",411
"29","29007",2056
"29","29009",3150
"29","29011",1026
"29","29013",1413
"29","29015",1283
"29","29017",1042
"29","29019",14549
"29","29021",7554
"29","29023",3935
"29","29025",809
"29","29027",3594
"29","29029",3073
"29","29031",6502
"29","29033",801
"29","29035",518
"29","29037",9932
"29","29039",1272
"29","29041",692
"29","29043",8941
"29","29045",600
"29","29047",23598
"29","29049",1771
"29","29051",6562
"29","29053",1449
"29","29055",2041
"29","29057",604
"29","29059",1529
"29","29061",751
"29","29063",872
"29","29065",1368
"29","29067",1117
"29","29069",3022
"29","29071",9138
"29","29073",1137
"29","29075",659
"29","29077",23703
"29","29079",928
"29","29081",785
"29","29083",1893
"29","29085",585
"29","29087",345
"29","29089",871
"29","29091",3784
"29","29093",770
"29","29095",64677
"29","29097",11912
"29","29099",20268
"29","29101",4583
"29","29103",349
"29","29105",3319
"29","29107",2899
"29","29109",3705
"29","29111",805
"29","29113",5791
"29","29115",1063
"29","29117",1216
"29","29119",2170
"29","29121",1316
"29","29123",1121
"29","29125",700
"29","29127",2542
"29","29129",320
"29","29131",2343
"29","29133",1077
"29","29135",1537
"29","29137",753
"29","29139",967
"29","29141",1805
"29","29143",1539
"29","29145",5309
"29","29147",1273
"29","29149",927
"29","29151",1144
"29","29153",671
"29","29155",1588
"29","29157",1654
"29","29159",4076
"29","29161",3646
"29","29163",1576
"29","29165",9772
"29","29167",2719
"29","29169",4571
"29","29171",409
"29","29173",849
"29","29175",2085
"29","29177",2008
"29","29179",463
"29","29181",1288
"29","29183",36433
"29","29185",648
"29","29186",1514
"29","29187",5446
"29","29189",84404
"29","29195",2056
